
country,fruit_imports,month
Canada,7433,2024-10
Canada,11021,2024-11
Canada,8260,2025-03
Canada,6258,2025-12
UK,8146,2020-01
UK,6064,2020-07
UK,7406,2020-12
UK,7353,2021-02
UK,7784,2021-03
UK,5014,2021-04
UK,4810,2022-03
UK,5065,2022-05
UK,8110,2022-08
UK,4017,2024-05
UK,4904,2025-01
UK,5344,2025-02
UK,7667,2025-05
UK,4931,2025-06
UK,7302,2025-07
UK,8731,2025-08
UK,5083,2026-01
UK,7801,2026-03
Germany,5434,2020-10
Germany,4984,2020-12
Germany,7928,2021-01
Germany,5374,2021-04
Germany,7297,2021-08
Germany,6711,2022-04
Germany,6122,2022-05
Germany,6756,2022-07
Germany,3504,2023-11
Germany,5251,2024-04
Germany,4497,2024-05
Germany,6597,2024-08
Germany,7425,2025-01
Germany,6725,2025-05
Germany,7994,2025-06
Germany,4192,2025-11
Germany,5981,2026-01
Germany,5954,2026-02
Spain,8750,2020-03
Spain,7261,2020-04
Spain,7864,2020-08
Spain,7524,2021-02
Spain,7465,2021-04
Spain,10271,2022-04
Spain,8116,2022-08
Spain,8138,2023-03
Spain,15317,2023-06
Spain,14996,2023-08
Spain,10778,2023-09
Spain,7132,2024-01
Spain,12398,2024-02
Spain,10919,2024-04
Spain,11715,2024-05
Spain,8067,2024-10
Spain,9536,2025-06
Spain,11803,2025-09
Spain,7932,2025-11
Spain,10213,2026-04
Japan,3781,2021-01
Japan,5013,2021-03
Japan,2495,2021-10
Japan,4719,2021-12
Japan,4140,2022-01
Japan,2575,2022-02
Japan,3809,2022-03
Japan,7141,2022-04
Japan,2998,2023-03
Japan,5580,2023-05
Japan,7080,2023-08
Japan,2626,2024-01
Japan,4053,2024-07
Japan,6035,2024-12
Japan,7745,2025-01
Japan,6390,2025-02
Japan,7380,2025-08
