Rank,Country/Region,"Fruit production (tonnes)"
146,Denmark,"58,060"
147,Bhutan,"56,475"
148,Dominica,"51,623"
149,São Tomé and Príncipe,"50,601"
150,Comoros,"50,526"
151,Sweden,"49,440"
152,Bahamas,"48,413"
153,Samoa,"46,538"
154,Fiji,"40,895"
155,Botswana,"32,152"
156,Solomon Islands,"30,094"
157,Mauritania,"29,055"
158,Qatar,"29,144"
159,Ireland,"26,150"
160,Finland,"25,550"
161,Mauritius,"24,434"
162,Norway,"23,836"
163,Vanuatu,"22,290"
164,Saint Kitts and Nevis,"21,821"
165,Bahrain,"21,284"
166,Latvia,"19,500"
167,Grenada,"19,111"
168,French Polynesia,"17,218"
169,Timor-Leste,"17,218"
170,Luxembourg,"16,040"
171,Lesotho,"15,350"
172,New Caledonia,"12,552"
173,Malta,"10,900"
174,Gambia,"9,503"
175,Kiribati,"9,024"
176,Antigua and Barbuda,"8,726"
177,Tonga,"8,611"
178,Cape Verde,"8,366"
179,Brunei,"8,133"
180,Maldives,"6,144"
181,Barbados,"5,146"
182,Hong Kong,"5,088"
183,Djibouti,"4,873"
184,Eritrea,"4,853"
185,Estonia,"4,190"
186,Seychelles,"2,964"
187,Federated States of Micronesia,"2,628"
188,Saint Kitts and Nevis,"1,990"
189,Mongolia,"1,600"
190,Cook Islands,"1,269"
191,Niue,906
192,Tuvalu,869
193,Nauru,474
194,Tokelau,76
195,Singapore,5
